Dates,searches
2018-01-14,38
2018-01-21,34
2018-01-28,26
2018-02-04,29
2018-02-11,29
2018-02-18,36
2018-02-25,31
2018-03-04,29
2018-03-11,31
2018-03-18,29
2018-03-25,29
2018-04-01,30
2018-04-08,27
2018-04-15,33
2018-04-22,32
2018-04-29,30
2018-05-06,29
2018-05-13,31
2018-05-20,43
2018-05-27,48
2018-06-03,47
2018-06-10,37
2018-06-17,31
2018-06-24,40
2018-07-01,40
2018-07-08,36
2018-07-15,34
2018-07-22,42
2018-07-29,43
2018-08-05,41
2018-08-12,41
2018-08-19,38
2018-08-26,40
2018-09-02,39
2018-09-09,42
2018-09-16,37
2018-09-23,43
2018-09-30,42
2018-10-07,38
2018-10-14,40
2018-10-21,36
2018-10-28,40
2018-11-04,42
2018-11-11,44
2018-11-18,42
2018-11-25,47
2018-12-02,44
2018-12-09,42
2018-12-16,44
2018-12-23,42
2018-12-30,41
2019-01-06,48
2019-01-13,54
2019-01-20,46
2019-01-27,42
2019-02-03,54
2019-02-10,46
2019-02-17,49
2019-02-24,51
2019-03-03,49
2019-03-10,55
2019-03-17,51
2019-03-24,56
2019-03-31,52
2019-04-07,53
2019-04-14,49
2019-04-21,45
2019-04-28,49
2019-05-05,43
2019-05-12,51
2019-05-19,55
2019-05-26,57
2019-06-02,58
2019-06-09,50
2019-06-16,58
2019-06-23,54
2019-06-30,57
2019-07-07,59
2019-07-14,61
2019-07-21,66
2019-07-28,78
2019-08-04,68
2019-08-11,63
2019-08-18,69
2019-08-25,68
2019-09-01,69
2019-09-08,66
2019-09-15,67
2019-09-22,73
2019-09-29,71
2019-10-06,69
2019-10-13,68
2019-10-20,65
2019-10-27,66
2019-11-03,74
2019-11-10,78
2019-11-17,80
2019-11-24,68
2019-12-01,68
2019-12-08,64
2019-12-15,68
2019-12-22,62
2019-12-29,81
2020-01-05,81
2020-01-12,82
2020-01-19,82
2020-01-26,78
2020-02-02,76
2020-02-09,79
2020-02-16,85
2020-02-23,78
2020-03-01,84
2020-03-08,83
2020-03-15,97
2020-03-22,97
2020-03-29,97
2020-04-05,95
2020-04-12,100
2020-04-19,93
2020-04-26,90
2020-05-03,92
2020-05-10,92
2020-05-17,90
2020-05-24,92
2020-05-31,90
2020-06-07,89
2020-06-14,92
2020-06-21,83
2020-06-28,94
2020-07-05,96
2020-07-12,100
2020-07-19,85
2020-07-26,82
2020-08-02,82
2020-08-09,84
2020-08-16,90
2020-08-23,87
2020-08-30,84
2020-09-06,89
2020-09-13,92
2020-09-20,84
2020-09-27,73
2020-10-04,77
2020-10-11,69
2020-10-18,68
2020-10-25,73
2020-11-01,65
2020-11-08,68
2020-11-15,83
2020-11-22,81
2020-11-29,82
2020-12-06,72
2020-12-13,66
2020-12-20,71
2020-12-27,83
2021-01-03,75
2021-01-10,73
2021-01-17,74
2021-01-24,77
2021-01-31,77
2021-02-07,75
2021-02-14,75
2021-02-21,79
2021-02-28,76
2021-03-07,74
2021-03-14,75
2021-03-21,71
2021-03-28,74
2021-04-04,71
2021-04-11,70
2021-04-18,75
2021-04-25,71
2021-05-02,74
2021-05-09,67
2021-05-16,72
2021-05-23,77
2021-05-30,74
2021-06-06,73
2021-06-13,68
2021-06-20,64
2021-06-27,77
